timeStamp,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,TongueTipInterdental,TongueTipAlveolar,TongueFrontDorsalPalate,TongueMidDorsalPalate,TongueBackDorsalVelar,TongueOut,TongueRetreat
16.97317,0.2001439,0.2742543,2.152658E-11,6.26855E-10,0.4560289,0.4809893,0,0,0.08629992,0.4672477,0.2250428,0.2331593,0.0004241318,0.6527026,0.1344924,0.2998304,0.08372505,0.176234,0,0,0,0,0.02667597,0.06143366,0.152838,2.004643E-08,9.984125E-10,1.346939E-05,0.0006676372,0.03738935,0.01086565,0.01086563,0.3926463,0.39092,3.216632E-11,5.832714E-10,3.261953E-11,5.835732E-10,0.0611091,0.0611091,0.04898892,0.03308697,0.07490181,0.07470098,0.1525852,0.2284525,0.1140081,0.1642386,2.84472E-11,3.145819E-11,0.02071191,0.1948162,0.1568249,0.01007971,5.683894E-31,0.07026568,0.08467782,2.802597E-45,8.814203E-08,0,0,0.5392303,0.5482637,8.984625E-06,9.905552E-05,9.587662E-07,1.316207E-05,4.918365E-05,0,2.168947E-05
17.08487,0.3352657,0.4407715,7.535902E-12,2.194239E-10,0.5608153,0.6106752,0,0,0.1679519,0.5633879,0.2085746,0.2200163,0.001587227,0.5931718,0.1798676,0.2920239,0.06820632,0.1592457,0,0,0,0,0.02869796,0.06580572,0.1478424,7.011712E-09,3.493382E-10,3.861922E-06,7.218474E-05,0.01587071,0.00496405,0.01086564,0.4315571,0.4316881,1.126046E-11,2.041484E-10,1.141912E-11,2.04254E-10,0.1281307,0.1281307,0.1282762,0.1166505,0.087581,0.08891037,0.1951986,0.2604919,0.1570713,0.197916,9.948401E-12,1.100161E-11,0.02292513,0.2183938,0.1800077,0.01064546,1.989802E-31,0.1655085,0.2198768,2.802597E-45,4.982302E-08,0,0,0.5538163,0.5760973,5.687496E-06,3.525038E-05,5.161536E-07,4.636031E-06,1.741677E-05,0,8.145508E-06
17.19627,0.3713031,0.4587092,1.859248E-12,5.413222E-11,0.5495138,0.5919307,0,0,0.174816,0.580357,0.2149223,0.2259906,0.006348923,0.4748642,0.2336613,0.3049282,0,0.05906767,0.0300804,0,0,0,0.02531588,0.07589689,0.1566483,1.72889E-09,8.615741E-11,8.279421E-07,7.321393E-06,0.01296131,0.003154039,0.01086564,0.4431578,0.4432584,2.778141E-12,5.036038E-11,2.817285E-12,5.038645E-11,0.1313245,0.132096,0.1366249,0.1221075,0.09185333,0.09227248,0.2118552,0.2897851,0.1720025,0.222252,2.452709E-12,2.71241E-12,0.02425382,0.2463011,0.2064562,0.01081922,0.002486001,0.1510908,0.2125872,2.802597E-45,2.328546E-08,0,0,0.5277963,0.5624928,3.999287E-06,7.361515E-06,2.370207E-07,8.466179E-07,3.343602E-06,0,2.347143E-06
17.30771,0.3577032,0.4363401,6.508731E-13,1.894975E-11,0.6133627,0.6786016,0,0,0.1754052,0.6138018,0.2294653,0.2482566,0.004084095,0.5124247,0.2070368,0.2822036,0.006881776,0.09554315,0,0,0,0,0.02116692,0.06786025,0.18837,6.051011E-10,3.015731E-11,0.005850004,1.790669E-06,0.009457175,0.001748333,0.01086564,0.5471007,0.5630487,9.725502E-13,1.762892E-11,9.862534E-13,1.763804E-11,0.1253854,0.1324262,0.136715,0.1190501,0.1027081,0.1158812,0.2078145,0.2961836,0.1655585,0.2308311,8.58395E-13,9.492897E-13,0.02371639,0.3127631,0.274732,0.01085034,0.009792448,0.1302967,0.182649,2.802597E-45,1.316225E-08,0,0,0.5288973,0.5594416,3.530705E-06,2.453575E-06,1.670017E-07,2.220841E-07,1.078019E-06,0,1.073892E-06
17.41837,0.3354386,0.4187972,2.278394E-13,6.6333E-12,0.609225,0.6698828,0,0,0.1647558,0.5995075,0.2333353,0.2573199,0.0015551,0.4803313,0.1700458,0.353819,0,0.06585705,0.0236294,0,0,0,0.0192738,0.06438781,0.1837221,2.117897E-10,1.055581E-11,0.001587011,5.090869E-07,0.04231168,0.001780722,0.01086564,0.5768078,0.5884052,3.404425E-13,6.170858E-12,3.452394E-13,6.174052E-12,0.1206532,0.1236456,0.1245906,0.1071085,0.1031754,0.1193522,0.2074937,0.311062,0.1589363,0.2457574,3.004367E-13,3.322508E-13,0.0233056,0.325286,0.2872572,0.01086047,0.009240395,0.10575,0.1489709,2.802597E-45,7.439768E-09,0,0,0.5370982,0.5572683,1.109217E-05,3.889494E-06,1.145914E-06,2.743243E-07,1.203257E-05,0,3.292087E-06
17.52965,0.3345179,0.4319989,5.62165E-14,1.636666E-12,0.6239377,0.6884959,0,0,0.1642043,0.5989646,0.2264271,0.2504111,0.004595473,0.4320388,0.2177024,0.3470709,0.09951828,0.1883836,0,0,0,0,0.01813078,0.06673255,0.1741745,5.225178E-11,2.604374E-12,0.000327031,1.084965E-07,0.03911826,0.0002424365,0.01086564,0.5486253,0.5654717,8.399977E-14,1.52255E-12,8.518333E-14,1.523338E-12,0.1197032,0.1204768,0.1173146,0.1017465,0.1032193,0.1195137,0.221337,0.2993078,0.1823088,0.2341706,7.412107E-14,8.197012E-14,0.02538643,0.3040333,0.2629902,0.0108644,0.008955212,0.1233432,0.1867829,2.802597E-45,3.477223E-09,0,0,0.5193979,0.5593128,6.722196E-05,1.244981E-05,3.510527E-07,1.418347E-06,1.549878E-05,0,9.51903E-06
17.64142,0.3193201,0.4171451,1.968011E-14,5.72957E-13,0.5946056,0.6541181,0,0,0.1532458,0.5772001,0.2279641,0.240634,0.001981854,0.4301089,0.1787752,0.3684852,0,0.08421739,0.005027974,0,0,0,0.02136898,0.06711407,0.1628904,1.829153E-11,9.117132E-13,0.000106797,3.589884E-08,0.02232058,0.002099098,0.01086564,0.5510393,0.5663724,2.940639E-14,5.330059E-13,2.982072E-14,5.332819E-13,0.1097641,0.1097669,0.1093191,0.09702569,0.1032226,0.1067655,0.2087429,0.2963615,0.163572,0.2310834,2.594704E-14,2.869472E-14,0.02376147,0.3159297,0.2690451,0.01086521,0.01041208,0.09514465,0.1368322,2.802597E-45,1.965532E-09,0,0,0.5138695,0.5478132,6.579409E-05,2.040337E-05,4.532296E-07,1.944771E-06,1.366311E-05,0,1.503343E-05
17.75262,0.3301304,0.4282002,6.889376E-15,2.005734E-13,0.6225515,0.683349,0,0,0.1590087,0.5994297,0.230235,0.2481551,0.01186398,0.3431903,0.2586289,0.3463547,0.0729386,0.1610673,0,0,0,0,0.01944338,0.06643349,0.1646767,6.403155E-12,3.191579E-13,3.59382E-05,1.2171E-08,0.006040315,0.003719989,0.01086564,0.5665601,0.577918,1.029423E-14,1.865874E-13,1.043928E-14,1.86684E-13,0.1172782,0.1171055,0.1171508,0.1015235,0.1170651,0.1161062,0.2111559,0.2983438,0.1609785,0.2331186,9.083019E-15,1.004488E-14,0.02330175,0.3521304,0.2975884,0.008389709,0.01073895,0.1227833,0.1591757,2.802597E-45,1.111017E-09,0,0,0.5366926,0.5626656,2.820506E-05,1.128001E-05,4.088901E-07,1.056124E-06,4.759159E-06,0,7.823401E-06
17.86427,0.3038466,0.4012282,1.699762E-15,4.948583E-14,0.619844,0.6820177,0,0,0.1610842,0.6265353,0.2557261,0.2805567,0.0001916364,0.5269417,0.09999312,0.3554125,0,0,0.112415,0.02344462,0,0,0.01217148,0.05817238,0.1871904,1.579779E-12,7.87427E-14,0.003775341,2.936833E-09,0.01223373,0.0006018549,0.01086564,0.5997488,0.6134794,2.539814E-15,4.603511E-14,2.575601E-15,4.605895E-14,0.1124704,0.1212237,0.125673,0.1144758,0.1301231,0.1460468,0.2034216,0.3071876,0.1716252,0.2460508,2.240947E-15,2.478256E-15,0.02194404,0.3762721,0.3413694,0.00338047,0.003563836,0.09686387,0.1350812,2.802597E-45,5.19252E-10,0,0,0.5715657,0.5957581,0.0001905481,0.001561929,5.432496E-06,4.588787E-06,4.410631E-05,0,0.001380827
17.9758,0.2394923,0.3497763,5.950427E-16,1.73237E-14,0.6568434,0.7351764,0,0,0.1496808,0.6158033,0.3251224,0.3414003,0.0002385825,0.4667083,0.09656308,0.3319393,0,0,0.3826604,0.297047,0,0,0.007780203,0.04456171,0.2581372,5.530372E-13,0.005897677,0.002808432,1.019414E-09,0.04287273,0.0001785758,0.01086564,0.6462417,0.6616959,8.891233E-16,1.611568E-14,9.01651E-16,1.612403E-14,0.1059126,0.106603,0.09842598,0.07932374,0.1260143,0.1279128,0.2096756,0.3041454,0.1693423,0.2476249,7.844927E-16,8.67568E-16,0.02165752,0.4057907,0.3603023,0.001746332,0.004080113,0.06639988,0.1045345,2.802597E-45,2.935104E-10,0,0,0.629508,0.6314728,7.4435E-05,0.006931976,2.562648E-06,1.300869E-05,3.79497E-05,0,0.005420442
18.08716,0.2026747,0.3255327,2.083109E-16,6.064631E-15,0.6584795,0.7288691,0,0,0.1097816,0.5979099,0.3159589,0.3401982,1.369044E-07,0.436617,0.01483184,0.3412254,0,0,0.4120407,0.3269149,0,0,0.005799812,0.04197993,0.2568417,1.936052E-13,0.001646262,0.0007545645,3.551635E-10,0.04548783,5.687067E-05,0.01086564,0.69098,0.7016852,3.112618E-16,5.641731E-15,3.156475E-16,5.644653E-15,0.08356522,0.08348484,0.07206359,0.06042603,0.1211411,0.1207262,0.2155439,0.3092792,0.1749752,0.2636691,2.746321E-16,3.037148E-16,0.02320067,0.4153707,0.3748752,0.00309671,0.0006690913,0.04353616,0.06085481,2.802597E-45,1.659094E-10,0,0,0.5927824,0.5909145,0.0001746386,0.006349508,1.473372E-05,4.592736E-05,0.0001781662,0,0.005839058
18.20022,0.1989265,0.3085098,5.139447E-17,1.496265E-15,0.6937751,0.7589154,0,0,0.09258687,0.5715781,0.3151215,0.3299054,1.220405E-05,0.3428627,0.04659778,0.330968,0,0,0.4608983,0.376159,0,0,0.005538276,0.04278868,0.2760528,4.776618E-14,0.008510163,0.005888054,8.733479E-11,0.08988648,1.313454E-05,0.01086564,0.7311233,0.7437981,7.679452E-17,1.391927E-15,7.787655E-17,1.392648E-15,0.0761712,0.07616473,0.06525195,0.0551754,0.1224508,0.1218455,0.2174786,0.3147459,0.1761792,0.2609529,6.775708E-17,7.493235E-17,0.02438591,0.4243763,0.3910859,0.005769292,0.001085221,0.04074203,0.06405827,2.802597E-45,7.754007E-11,0,0,0.591458,0.5940418,0.004809754,0.006170618,0.0002686863,0.002542691,0.004490732,0,0.008230966
18.30982,0.2118029,0.3168643,1.799188E-17,5.238038E-16,0.7348344,0.8083237,0,0,0.1108352,0.5726569,0.3175482,0.3338912,0.0007567704,0.4172276,0.1305208,0.3462492,0,0,0.4498348,0.3648642,0,0,0.00819709,0.04757437,0.2624444,1.672169E-14,0.004520958,0.001537054,3.053486E-11,0.07768859,4.4832E-06,0.01086564,0.740606,0.7626025,2.688378E-17,4.872777E-16,2.726257E-17,4.875301E-16,0.08276096,0.08270065,0.06750141,0.05468102,0.1291868,0.1214994,0.2308626,0.3087885,0.181982,0.2519396,2.371998E-17,2.623186E-17,0.02542875,0.4471587,0.3965476,0.006443676,0.005764639,0.05570646,0.09106064,2.802597E-45,4.383E-11,0,0,0.5839375,0.5933827,0.00358597,0.002834167,6.703054E-05,0.00141687,0.001675215,0,0.003887923
18.42064,0.2293718,0.3461105,6.298379E-18,1.833669E-16,0.7369763,0.80369,0,0,0.09726509,0.5418137,0.3179744,0.3343786,3.911555E-08,0.5848864,0.01165687,0.3570547,0,0,0.5053934,0.4204593,0,0,0.02518877,0.06300943,0.241486,5.853727E-15,0.009842352,0.0004541991,1.06816E-11,0.1313154,0.005885623,0.01086564,0.7377067,0.7615595,9.411148E-18,1.705803E-16,9.543752E-18,1.706687E-16,0.07002544,0.06999665,0.05847881,0.0433589,0.1301335,0.1289434,0.2333358,0.3056427,0.1910074,0.2504962,8.303602E-18,9.182928E-18,0.03154653,0.4328183,0.3954288,0.002749051,0.01006353,0.04444867,0.07880782,2.802597E-45,2.477492E-11,0,0,0.578063,0.6127932,0.0007175677,0.0005571142,1.362394E-05,0.0002765337,0.0003384539,0,0.000762807
18.53154,0.2546422,0.3787186,1.553991E-18,4.52419E-17,0.7557536,0.830481,0,0,0.1117639,0.5504015,0.3292501,0.3498115,0,0.6564602,1.747176E-05,0.285394,0,0,0.4830907,0.3987673,0,0,0.04399035,0.08867016,0.2765176,1.444283E-15,0.01072281,0.005892459,2.634149E-12,0.1091263,0.001089535,0.01086564,0.744721,0.7550988,2.322001E-18,4.208707E-17,2.354718E-18,4.210887E-17,0.08441905,0.08439901,0.06980883,0.07167873,0.1303441,0.1241323,0.2335851,0.3200109,0.1915491,0.2697571,2.048737E-18,2.265692E-18,0.03723138,0.4360006,0.394363,0.002142871,0.01075587,0.05874566,0.08698965,2.802597E-45,1.157914E-11,0,0,0.5905987,0.6274819,0.000131818,0.0001031708,2.567455E-06,4.945243E-05,6.418847E-05,0,0.0001383105
18.64316,0.2179416,0.3623187,5.440026E-19,1.583774E-17,0.7538254,0.8654624,0,0,0.08447625,0.5172833,0.4403039,0.4510493,0,0.6245418,4.862742E-07,0.3203048,0,0,0.4504614,0.3653588,0,0,0.04320646,0.09185145,0.3198253,5.05597E-16,0.01082573,0.01017086,9.219565E-13,0.1035157,0.005020317,0.01086564,0.6926607,0.7083488,8.128582E-19,1.473334E-17,8.243114E-19,1.474096E-17,0.07044958,0.07043969,0.05937674,0.05796118,0.1303745,0.1401258,0.2387668,0.3252405,0.1935331,0.2726683,7.17197E-19,7.931461E-19,0.03493506,0.4649371,0.4340486,0.0005278538,0.002655466,0.04526336,0.0713513,2.802597E-45,6.545114E-12,0,0,0.7162045,0.7164359,5.102653E-05,3.813062E-05,9.906005E-07,1.705324E-05,2.462413E-05,0,4.876121E-05
18.75478,0.2029205,0.3284692,1.904278E-19,5.54399E-18,0.6177183,0.681675,0,0,0.06555237,0.5204329,0.4997554,0.5104836,0,0.538818,3.17285E-08,0.335544,0,0,0.5552698,0.4722564,0,0,0.04186986,0.09086698,0.4071043,1.769839E-16,0.01085337,0.03644651,3.226957E-13,0.1116724,0.001186804,0.01086564,0.5763452,0.5772705,2.845405E-19,5.157394E-18,2.885497E-19,5.160065E-18,0.05504863,0.05504702,0.05485302,0.03897231,0.1139443,0.1265783,0.2156932,0.3008157,0.18134,0.2381664,2.510543E-19,2.776402E-19,0.03484097,0.3611129,0.3396837,0.003567495,0.0004609216,0.04335573,0.06187838,2.802597E-45,3.699512E-12,0,0,0.7885375,0.8092392,1.619914E-05,1.414084E-05,4.79393E-07,3.755967E-06,6.906341E-06,0,1.300066E-05
18.86603,0.1873856,0.30113,4.698651E-20,1.367935E-18,0.7368057,0.8090962,0,0,0.07213184,0.5094469,0.4674236,0.4660195,0,0.4853196,2.100877E-09,0.3426796,0,0,0.5781102,0.4955371,0,0,0.04240274,0.09504666,0.3297661,4.366934E-17,0.005020519,0.01642713,0.0001950938,0.1123582,0.003636251,0.01086564,0.6643344,0.6832287,7.020807E-20,1.272545E-18,7.119729E-20,1.273204E-18,0.05693625,0.05693793,0.04379336,0.03807668,0.1112493,0.1201163,0.2233404,0.2976256,0.1853428,0.2441567,6.194562E-20,6.850548E-20,0.03305073,0.3910682,0.357466,0.008527745,0.006900185,0.05198717,0.06305577,2.802597E-45,1.729108E-12,0,0,0.7590303,0.7788158,6.50301E-06,5.800748E-06,2.796853E-07,9.774723E-07,2.26469E-06,0,4.372865E-06
